Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_283.jpg;0;1;0;0.2668003;99.71157;85.65244;1.192707;56.94207;-0.0008939346
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_350.jpg;0;1;0;0.3157941;99.72689;85.67503;1.291898;56.93702;-0.005472986
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_416.jpg;0;1;0;0.3578683;99.73873;85.6928;1.172679;56.88023;0.0003365907
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_483.jpg;0;1;0;0.451234;99.75349;85.71521;1.141311;56.89807;-0.0007357253
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_550.jpg;0;1;0;0.4896644;99.77576;85.74895;1.15764;56.68369;0.000901929
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_617.jpg;0;1;0;0.5309301;99.79446;85.77723;1.198057;56.78102;-0.001722865
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_683.jpg;0;1;0;0.6006265;99.81496;85.80811;1.233608;56.78272;-0.001428534
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_750.jpg;0;1;0;0.6552197;99.84426;85.85252;1.222815;56.55315;0.0006321498
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_817.jpg;0;1;0;0.7065974;99.86792;85.88806;1.188751;56.45566;0.0001721525
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_883.jpg;0;1;0;0.7710313;99.89375;85.92657;1.192353;56.23016;0.0004740804
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_50_950.jpg;0;1;0;0.8194966;99.93108;85.98207;1.208032;56.18645;-0.001137773
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_017.jpg;0;1;0;0.8803924;99.9612;86.02674;1.220775;56.13201;6.22062E-05
